Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2021-03-23,"Mar 23, 2021",123.33,124.24,122.14,122.54,122.54,95467142
2021-03-22,"Mar 22, 2021",120.33,123.87,120.26,123.39,123.39,111711600
2021-03-19,"Mar 19, 2021",119.90,121.43,119.68,119.99,119.99,185023200
2021-03-18,"Mar 18, 2021",122.88,123.18,120.32,120.53,120.53,121229700
2021-03-17,"Mar 17, 2021",124.05,125.86,122.34,124.76,124.76,111437500
2021-03-16,"Mar 16, 2021",125.70,127.22,124.72,125.57,125.57,114740000
2021-03-15,"Mar 15, 2021",121.41,124.00,120.42,123.99,123.99,92403800
2021-03-12,"Mar 12, 2021",120.40,121.17,119.16,121.03,121.03,87963400
2021-03-11,"Mar 11, 2021",122.54,123.21,121.26,121.96,121.96,102753600
2021-03-10,"Mar 10, 2021",121.69,122.17,119.45,119.98,119.98,111760400
2021-03-09,"Mar 09, 2021",119.03,122.06,118.79,121.09,121.09,129159600
2021-03-08,"Mar 08, 2021",120.93,121.00,116.21,116.36,116.36,153918600
2021-03-05,"Mar 05, 2021",120.98,121.94,117.57,121.42,121.42,153590400
2021-03-04,"Mar 04, 2021",121.75,123.60,118.62,120.13,120.13,177275300
2021-03-03,"Mar 03, 2021",124.81,125.71,121.84,122.06,122.06,112430400
2021-03-02,"Mar 02, 2021",128.41,128.72,125.01,125.12,125.12,102015300
2021-03-01,"Mar 01, 2021",123.75,127.93,122.79,127.79,127.79,115998300
2021-02-26,"Feb 26, 2021",122.59,124.85,121.20,121.26,121.26,164320000
2021-02-25,"Feb 25, 2021",124.68,126.46,120.54,120.99,120.99,148199500
2021-02-24,"Feb 24, 2021",124.94,125.56,122.23,125.35,125.35,111039900
2021-02-23,"Feb 23, 2021",123.76,126.71,118.39,125.86,125.86,158273000
2021-02-22,"Feb 22, 2021",128.01,129.72,125.60,126.00,126.0,103916400
2021-02-19,"Feb 19, 2021",130.24,130.71,128.80,129.87,129.87,87668800
2021-02-18,"Feb 18, 2021",129.20,130.00,127.41,129.71,129.71,96856700
2021-02-17,"Feb 17, 2021",131.25,132.22,129.47,130.84,130.84,97918500
2021-02-16,"Feb 16, 2021",135.49,136.01,132.79,133.19,133.19,80576300
2021-02-12,"Feb 12, 2021",134.35,135.53,133.69,135.37,135.37,60029300
2021-02-11,"Feb 11, 2021",135.90,136.39,133.77,135.13,135.13,64154400
2021-02-10,"Feb 10, 2021",136.48,136.99,134.40,135.39,135.39,73046600
2021-02-09,"Feb 09, 2021",136.62,137.88,135.85,136.01,136.01,76774200
2021-02-08,"Feb 08, 2021",136.03,136.96,134.92,136.91,136.91,71297200
2021-02-05,"Feb 05, 2021",137.35,137.42,135.86,136.76,136.76,75524000
2021-02-04,"Feb 04, 2021",136.30,137.40,134.59,137.39,137.18,84183100
2021-02-03,"Feb 03, 2021",135.76,135.77,133.61,133.94,133.74,89880900
2021-02-02,"Feb 02, 2021",135.73,136.31,134.61,134.99,134.79,83305400
2021-02-01,"Feb 01, 2021",133.75,135.38,130.93,134.14,133.94,106239800
2021-01-29,"Jan 29, 2021",135.83,136.74,130.21,131.96,131.76,177180600
2021-01-28,"Jan 28, 2021",139.52,141.99,136.70,137.09,136.89,142621100
2021-01-27,"Jan 27, 2021",143.43,144.30,140.41,142.06,141.85,140843800
2021-01-26,"Jan 26, 2021",143.60,144.30,141.37,143.16,142.95,98390600
2021-01-25,"Jan 25, 2021",143.07,145.09,136.54,142.92,142.71,157611700
2021-01-22,"Jan 22, 2021",136.28,139.85,135.02,139.07,138.86,114459400
2021-01-21,"Jan 21, 2021",133.80,139.67,133.59,136.87,136.67,120529500
2021-01-20,"Jan 20, 2021",128.66,132.49,128.55,132.03,131.83,104319500
2021-01-19,"Jan 19, 2021",127.78,128.71,126.94,127.83,127.64,90757300
2021-01-15,"Jan 15, 2021",128.78,130.22,127.00,127.14,126.95,111598500
2021-01-14,"Jan 14, 2021",130.80,131.00,128.76,128.91,128.72,90221800
2021-01-13,"Jan 13, 2021",128.76,131.45,128.49,130.89,130.69,88636800
2021-01-12,"Jan 12, 2021",128.50,129.69,126.86,128.80,128.61,91951100
2021-01-11,"Jan 11, 2021",129.19,130.17,128.50,128.98,128.79,100620900
2021-01-08,"Jan 08, 2021",132.43,132.63,130.23,132.05,131.85,105158200
2021-01-07,"Jan 07, 2021",128.36,131.63,127.86,130.92,130.72,109578200
2021-01-06,"Jan 06, 2021",127.72,131.05,126.38,126.60,126.41,155088000
2021-01-05,"Jan 05, 2021",128.89,131.74,128.43,131.01,130.81,97664900
2021-01-04,"Jan 04, 2021",133.52,133.61,126.76,129.41,129.22,143301900
2020-12-31,"Dec 31, 2020",134.08,134.74,131.72,132.69,132.49,99116600
2020-12-30,"Dec 30, 2020",135.58,135.99,133.40,133.72,133.52,96452100
2020-12-29,"Dec 29, 2020",138.05,138.79,134.34,134.87,134.67,121047300
2020-12-28,"Dec 28, 2020",133.99,137.34,133.51,136.69,136.49,124486200
2020-12-24,"Dec 24, 2020",131.32,133.46,131.10,131.97,131.77,54930100
2020-12-23,"Dec 23, 2020",132.16,132.43,130.78,130.96,130.76,88223700
2020-12-22,"Dec 22, 2020",131.61,134.41,129.65,131.88,131.68,168904800
2020-12-21,"Dec 21, 2020",125.02,128.31,123.45,128.23,128.04,121251600
2020-12-18,"Dec 18, 2020",128.96,129.10,126.12,126.66,126.47,192541500
2020-12-17,"Dec 17, 2020",128.90,129.58,128.04,128.70,128.51,94359800
2020-12-16,"Dec 16, 2020",127.41,128.37,126.56,127.81,127.62,98208600
2020-12-15,"Dec 15, 2020",124.34,127.90,124.13,127.88,127.69,157572300
2020-12-14,"Dec 14, 2020",122.60,123.35,121.54,121.78,121.6,79184500
2020-12-11,"Dec 11, 2020",122.43,122.76,120.55,122.41,122.23,86939800
2020-12-10,"Dec 10, 2020",120.50,123.87,120.15,123.24,123.06,81312200
2020-12-09,"Dec 09, 2020",124.53,125.95,121.00,121.78,121.6,115089200
2020-12-08,"Dec 08, 2020",124.37,124.98,123.09,124.38,124.19,82225500
2020-12-07,"Dec 07, 2020",122.31,124.57,122.25,123.75,123.57,86712000
2020-12-04,"Dec 04, 2020",122.60,122.86,121.52,122.25,122.07,78260400
2020-12-03,"Dec 03, 2020",123.52,123.78,122.21,122.94,122.76,78967600
2020-12-02,"Dec 02, 2020",122.02,123.37,120.89,123.08,122.9,89004200
2020-12-01,"Dec 01, 2020",121.01,123.47,120.01,122.72,122.54,128166800
2020-11-30,"Nov 30, 2020",116.97,120.97,116.81,119.05,118.87,169410200
2020-11-27,"Nov 27, 2020",116.57,117.49,116.22,116.59,116.42,46691300
2020-11-25,"Nov 25, 2020",115.55,116.75,115.17,116.03,115.86,76499200
2020-11-24,"Nov 24, 2020",113.91,115.85,112.59,115.17,115.0,113874200
2020-11-23,"Nov 23, 2020",117.18,117.62,113.75,113.85,113.68,127959300
2020-11-20,"Nov 20, 2020",118.64,118.77,117.29,117.34,117.16,73604300
2020-11-19,"Nov 19, 2020",117.59,119.06,116.81,118.64,118.46,74113000
2020-11-18,"Nov 18, 2020",118.61,119.82,118.00,118.03,117.85,76322100
2020-11-17,"Nov 17, 2020",119.55,120.67,118.96,119.39,119.21,74271000
2020-11-16,"Nov 16, 2020",118.92,120.99,118.15,120.30,120.12,91183000
2020-11-13,"Nov 13, 2020",119.44,119.67,117.87,119.26,119.08,81581900
2020-11-12,"Nov 12, 2020",119.62,120.53,118.57,119.21,119.03,103162300
2020-11-11,"Nov 11, 2020",117.19,119.63,116.44,119.49,119.31,112295000
2020-11-10,"Nov 10, 2020",115.55,117.59,114.13,115.97,115.8,138023400
2020-11-09,"Nov 09, 2020",120.50,121.99,116.05,116.32,116.15,154515300
2020-11-06,"Nov 06, 2020",118.32,119.20,116.13,118.69,118.51,114457900
2020-11-05,"Nov 05, 2020",117.95,119.62,116.87,119.03,118.65,126387100
2020-11-04,"Nov 04, 2020",114.14,115.59,112.35,114.95,114.58,138235500
2020-11-03,"Nov 03, 2020",109.66,111.49,108.73,110.44,110.09,107624400
2020-11-02,"Nov 02, 2020",109.11,110.68,107.32,108.77,108.42,122866900
2020-10-30,"Oct 30, 2020",111.06,111.99,107.72,108.86,108.51,190272600
